ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100028_pressure,100100028_flow,100100006_pressure,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,10012167_flow
2022-08-27 15:00:00,1635.4167,28999.543,581.956,19620.564,1542.436,10379.0,1532.671,16102.523,710.07997,7554.046,719.5497,0.0,730.26496,1524.4688,1373.3749,583.24817,1382.5594,1310.7638,10750.85,1382.0261,0.0,1.6782407,1492.125,1430.1474,2196.1514,544.887,0.0,745.7425,8643.186,0.0
2022-08-27 16:00:00,1638.8888,28802.256,717.6794,19456.553,1538.9639,10359.0,1533.5389,16100.971,707.68,7689.04,719.6627,0.0,727.51606,1530.7031,1373.3749,583.24817,1383.5539,1312.5,10815.732,1382.905,0.0,1.6782407,1422.4375,1426.8922,3436.6167,557.03896,0.0,745.7425,8643.186,0.0
2022-08-27 17:00:00,1638.8888,28802.256,717.6794,19456.553,1538.9639,10359.0,1533.5389,16100.971,707.68,7689.04,719.6627,0.0,727.51606,1530.7031,1373.3749,583.24817,1383.5539,1312.5,10815.732,1382.905,0.0,1.6782407,1422.4375,1426.8922,3436.6167,557.03896,0.0,745.7425,8643.186,0.0
2022-08-27 18:00:00,1631.9444,32618.342,628.70416,83.37845,1521.8209,19994.0,1508.15,15247.711,636.8,11995.232,659.9828,1514.3384,689.17626,2344.625,1244.375,647.3257,1273.1482,1201.3888,11322.016,1276.753,1.2522278,1.6782407,969.4219,1338.4573,468.0537,672.7,0.0,739.0688,16102.254,0.0
2022-08-27 19:00:00,1633.6806,31761.98,643.08124,0.0,1620.556,20025.0,1608.4039,15755.248,707.68,7642.129,716.95,0.0,726.7927,1755.4062,1305.8126,0.0,1332.8269,1262.1528,10408.77,1332.7098,0.0,1.6782407,356.40625,1413.3285,435.66553,610.421,0.0,749.77756,10373.662,0.0
2022-08-27 20:00:00,1635.4167,27817.992,732.9607,0.0,1578.241,11820.0,1568.259,16290.201,725.28,5772.8105,731.07874,0.0,736.6308,1404.9219,1404.0625,659.38684,1410.3191,1343.75,10092.689,1410.9323,0.9584808,1.6782407,644.96875,1462.1575,381.70636,702.429,0.0,748.13,7601.9004,0.0
2022-08-27 21:00:00,1640.625,23098.365,855.3921,0.0,1649.851,12033.0,1641.822,16434.59,732.16,4705.6494,736.7303,0.0,740.6818,1147.5469,1485.1875,1167.3728,1489.9813,1427.0834,9301.793,1493.7446,0.0,1.7361112,696.625,1540.2839,339.67944,823.515,0.0,748.17127,6529.699,0.0
2022-08-27 22:00:00,1640.625,17296.818,901.236,0.0,1782.004,14742.0,1770.286,16470.133,730.08,4969.699,734.80874,0.0,740.4648,1057.5625,1572.6249,1288.0688,1581.0366,1522.5694,8983.797,1586.2248,0.0,1.7361112,989.0781,1643.0961,455.18036,922.68395,0.0,747.74504,6308.282,0.0
2022-08-27 23:00:00,1649.3056,10236.862,721.1154,0.0,1867.502,15565.0,1855.3499,16538.152,735.2,4307.714,739.2169,0.0,737.78826,1021.3594,1645.1876,0.0,1646.2313,1592.0138,8051.3926,1652.4357,0.0,1.7361112,704.5469,1716.6109,317.3734,728.252,0.0,748.1463,5373.2637,0.0
2022-08-28 00:00:00,1652.7777,3003.539,284.9197,0.0,1835.3859,11223.0,1827.791,17039.418,730.24,4172.451,734.13056,0.0,737.78826,1021.3594,1655.5624,0.0,1648.4013,1595.4862,8364.579,1655.463,0.0,1.6782407,703.0,1717.696,415.0976,591.542,0.0,744.42625,5546.1787,0.0
